airport_name,country,iata,status
Fmc Nr 1 Heliport,US,N/A,Ghost Airport
Lakeside Lodge and Marina Seaplane Base,US,N/A,Ghost Airport
Hadley Airport,US,N/A,Ghost Airport
Upper Chesapeake Medical Center Heliport,US,N/A,Ghost Airport
Maple Ridge Airport,US,N/A,Ghost Airport
Harold Miller Heliport,US,N/A,Ghost Airport
Nauerth Land Ranch Airport,US,N/A,Ghost Airport
Vicksburg Medical Center Heliport,US,N/A,Ghost Airport
Cascade Field,US,N/A,Ghost Airport
McDonnell Airport,US,N/A,Ghost Airport
Utirik Airport,MH,UTK,Ghost Airport
Pilots Ridge Airport,US,N/A,Ghost Airport
Olafson Brothers Airport,US,N/A,Ghost Airport
Hyde Ranch Airport,US,N/A,Ghost Airport
Lorden Heliport,US,N/A,Ghost Airport
Miner's Colfax Medical Center Heliport,US,N/A,Ghost Airport
Johnston Medical Center Heliport,US,N/A,Ghost Airport
Llama Ranch Airport,US,N/A,Ghost Airport
Talmage Field,US,N/A,Ghost Airport
Gibbs Field,US,N/A,Ghost Airport
"Cleveland Clinic, Marymount Hospital Heliport",US,N/A,Ghost Airport
Sahoma Lake Airport,US,N/A,Ghost Airport
Bluebird Airport,US,N/A,Ghost Airport
Powwatka Ridge Airport,US,N/A,Ghost Airport
Collegeville Heliport,US,N/A,Ghost Airport
M.P. Metals Heliport,US,N/A,Ghost Airport
Sun View Field Airport,US,N/A,Ghost Airport
Sandy River Airport,US,N/A,Ghost Airport
Seacoast Medical Center Heliport,US,N/A,Ghost Airport
Barronena Ranch Airport,US,N/A,Ghost Airport
Eagles Landing Heliport,US,N/A,Ghost Airport
Shannon Medical Center Heliport,US,N/A,Ghost Airport
Brazos Polo Airport,US,N/A,Ghost Airport
M D K Field Heliport,US,N/A,Ghost Airport
AZ Minerals Corporation Airport,US,N/A,Ghost Airport
Spangle Field,US,N/A,Ghost Airport
Aerostone Ranch Airport,US,N/A,Ghost Airport
Lopez Medical Clinic Heliport,US,N/A,Ghost Airport
Del Sol Medical Center Heliport,US,N/A,Ghost Airport
Creekside Airport,US,N/A,Ghost Airport
Flying W Ranch Airport,US,N/A,Ghost Airport
Anniston AHP (Anniston Army Depot),US,N/A,Ghost Airport
North 40 Airport,US,N/A,Ghost Airport
Saline Memorial Hospital Heliport,US,N/A,Ghost Airport
Gray Butte Field,US,N/A,Ghost Airport
Hunt's Sky Ranch Airport,US,N/A,Ghost Airport
Shingle Mill Heliport,US,N/A,Ghost Airport
Richards Field,US,N/A,Ghost Airport
Tampa General Hospital Brandon Healthplex Heliport,US,N/A,Ghost Airport
Cross Creek Farms Airport,US,N/A,Ghost Airport
Columbus Southwest Airport,US,N/A,Ghost Airport
Middlekoop Airport,US,N/A,Ghost Airport
Lanham Field,US,N/A,Ghost Airport
Schertz Aerial Service - Hudson Airport,US,N/A,Ghost Airport
Lake Gage Seaplane Base,US,N/A,Ghost Airport
Van Gorder Airport,US,N/A,Ghost Airport
Natchez Trace Farm Airport,US,N/A,Ghost Airport
Saint James Parish Hospital Heliport,US,N/A,Ghost Airport
La National Guard Heliport,US,N/A,Ghost Airport
Goddard Field,US,N/A,Ghost Airport
Chesapeake City Heliport,US,N/A,Ghost Airport
Beech Hill Airport,US,N/A,Ghost Airport
Rapids Airway Airport,US,N/A,Ghost Airport
Helblad Airport,US,N/A,Ghost Airport
Nick's Flying Service Inc Airport,US,N/A,Ghost Airport
Pluhar Airport,US,N/A,Ghost Airport
Western Wake Medical Center Heliport,US,N/A,Ghost Airport
Mc Connell Field Airport,US,N/A,Ghost Airport
Emmanuel Airport,US,N/A,Ghost Airport
McGee 04 Heliport,US,N/A,Ghost Airport
Kingston Ranch Airport,US,N/A,Ghost Airport
Klaverack Airport,US,N/A,Ghost Airport
Teufel Heliport,US,N/A,Ghost Airport
Stillwater Medical Center Heliport,US,N/A,Ghost Airport
Collins Landing Strip,US,N/A,Ghost Airport
S & C Distribution Center Heliport,US,N/A,Ghost Airport
Strawbridge & Clothier Exton Heliport,US,N/A,Ghost Airport
Emergency Helipad,US,N/A,Ghost Airport
Cheyenne River Health Center Heliport,US,N/A,Ghost Airport
Veterans Affairs Medical Center Heliport,US,N/A,Ghost Airport
Hensley Airpark,US,N/A,Ghost Airport
Hummingbird Heliport,US,N/A,Ghost Airport
4D Ranch Airport,US,N/A,Ghost Airport
Pocock Airport,US,N/A,Ghost Airport
Navajo Mountain Airport,US,N/A,Ghost Airport
Saguache Municipal Airport,US,N/A,Ghost Airport
Russell County Medical Center Heliport,US,N/A,Ghost Airport
Manquin Flight Park Ultralightport,US,N/A,Ghost Airport
Lightning Bolt Field Airport,US,N/A,Ghost Airport
Field of Dreams Airport,US,N/A,Ghost Airport
Ox Meadows Airport,US,N/A,Ghost Airport
Dutch Gap Airstrip,US,N/A,Ghost Airport
Stillwater Creek Airport,US,N/A,Ghost Airport
West Virginia Univ. Hosp. Inc. Gnd. Pad #2 Heliport,US,N/A,Ghost Airport
Pecan Field,US,N/A,Ghost Airport
Allen Stagefield Army Heliport,US,N/A,Ghost Airport
Wetons Aerodrome,US,N/A,Ghost Airport
Ozark Skies Airpark,US,N/A,Ghost Airport
Yuma Regional Medical Center Heliport,US,N/A,Ghost Airport
Van Buren Seaplane Base,US,N/A,Ghost Airport
Lost Hills Sheriff's Station Heliport,US,N/A,Ghost Airport
Pope Valley Airport,US,N/A,Ghost Airport
Rancho de Aereo Airport,US,N/A,Ghost Airport
O And G Heliport,US,N/A,Ghost Airport
Melanie's Airport,US,N/A,Ghost Airport
Aventura Heliport,US,N/A,Ghost Airport
Charlton Strip,US,N/A,Ghost Airport
Raju Airport,US,N/A,Ghost Airport
Spotts Field,US,N/A,Ghost Airport
Running Creek Ranch Airport,US,N/A,Ghost Airport
Classic Landings Airport,US,N/A,Ghost Airport
Cooper Airport,US,N/A,Ghost Airport
Hardy Airport,US,N/A,Ghost Airport
Darbro Field,US,N/A,Ghost Airport
High Point Farm Airport,US,N/A,Ghost Airport
Cartersville Airport,US,N/A,Ghost Airport
Greg's Flying Service Airport,US,N/A,Ghost Airport
Midwest Heliport,US,N/A,Ghost Airport
Grass Roots Airport,US,N/A,Ghost Airport
Pauls Valley General Hospital Heliport,US,N/A,Ghost Airport
Bentley Heliport,US,N/A,Ghost Airport
Breezecroft Airport,US,N/A,Ghost Airport
Drisko Airport,US,N/A,Ghost Airport
Beaumont Hospital Taylor Heliport,US,N/A,Ghost Airport
Northern Pines Medical Center Heliport,US,N/A,Ghost Airport
VA Medical Center Jackson Heliport,US,N/A,Ghost Airport
Jones Landing Airport,US,N/A,Ghost Airport
Mc Kay Airport,US,N/A,Ghost Airport
Stumpfield Heliport,US,N/A,Ghost Airport
